1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
34,1,397,504,33,5,101,352,3,687,14,342,130,7,258
151,15,798,660,72,20,418,550,34,1633,20,719,366,15,226
105,15,493,433,150,10,352,372,24,1145,14,658,286,15,229
176,9,1247,840,122,17,528,1008,14,1815,18,1329,555,23,583
79,5,335,401,46,10,280,219,9,469,7,386,221,47,116
69,9,432,884,46,10,257,195,9,453,10,306,255,13,92
60,2,593,659,46,5,171,565,7,524,22,553,230,9,348
66,4,353,898,40,2,194,329,8,418,16,392,299,12,161
103,4,410,422,57,10,300,329,9,975,13,523,381,8,133
108,7,474,674,58,11,327,404,7,1338,17,687,399,22,255
125,8,470,778,71,14,371,515,5,606,11,546,356,14,140
84,4,357,727,44,6,281,331,15,529,13,432,269,19,106
79,4,463,755,50,15,253,517,4,475,14,477,266,11,159
65,5,309,530,45,9,281,328,9,471,9,395,207,9,121
75,7,353,445,195,5,236,266,6,466,9,494,205,8,111
28,0,266,339,37,7,81,210,2,371,8,274,115,2,193
9,1,42,51,5,1,25,38,0,62,2,48,33,0,21
140,19,634,431,81,19,424,553,20,1673,23,776,347,18,192
125,4,463,681,375,15,387,321,10,783,17,562,373,17,193
130,3,541,655,228,16,429,357,9,620,14,653,351,21,200
113,5,310,328,148,12,299,212,6,844,8,410,285,10,108
225,8,343,2104,758,14,425,268,10,428,12,626,286,19,150
101,6,365,386,409,14,299,253,11,775,12,483,318,14,102
91,8,387,433,135,9,313,328,9,667,14,485,297,7,151
84,9,230,236,86,5,179,176,10,817,13,301,197,14,66
128,6,394,539,509,8,310,275,11,708,14,528,308,8,128
129,5,355,2206,810,15,542,199,7,399,17,609,579,8,165
102,8,478,567,602,13,395,342,14,1159,13,710,314,23,204
80,9,277,296,514,7,237,207,11,1072,22,359,258,23,96
150,13,478,569,1505,17,457,355,13,1323,20,787,509,18,208
123,6,1001,841,65,9,289,595,11,1290,31,855,342,3,415
106,2,911,743,55,9,300,510,11,858,16,778,300,14,291
117,7,1000,846,72,8,351,559,12,955,18,863,307,12,350
85,6,807,1035,101,9,317,1034,7,665,22,945,318,5,435
95,3,291,455,222,7,204,213,7,459,6,412,224,3,114
154,7,424,348,502,14,522,388,12,2061,17,664,355,31,135
146,4,528,1217,710,13,398,290,18,481,16,689,327,23,125
168,7,320,802,362,12,350,215,17,483,14,613,307,18,245
80,4,576,670,126,4,181,433,8,628,15,660,205,7,351
83,2,296,1086,1702,12,325,160,6,382,10,482,240,9,134
62,3,168,404,265,4,190,99,3,243,3,298,162,7,127
46,6,328,646,436,4,115,212,3,330,12,321,144,4,140
157,5,612,540,358,13,425,444,12,1467,11,775,354,15,178
199,9,843,1013,177,25,606,698,12,1874,14,1032,644,25,407
160,3,595,868,139,12,423,492,12,1231,14,784,440,16,224
131,7,566,1507,92,9,313,529,9,632,9,643,338,12,271
69,4,253,199,588,10,204,177,6,824,10,380,187,14,68
43,5,168,153,658,2,198,132,6,637,0,269,171,13,55
64,6,544,741,57,6,215,464,11,671,14,555,210,4,324
38,5,312,404,38,7,89,262,3,328,7,262,97,7,147
33,1,335,360,28,3,101,207,2,378,18,276,102,5,135
73,3,521,462,96,7,228,356,2,436,16,503,189,5,157
78,5,613,661,61,7,236,431,10,715,10,507,237,12,257
68,3,561,698,50,12,227,409,7,737,21,562,216,14,297
12,0,66,167,3,0,22,65,0,129,5,62,16,1,37
83,1,356,202,70,7,238,241,8,878,7,450,210,10,93
99,2,455,531,216,10,320,319,15,660,18,534,283,9,183
88,3,149,1149,49,11,198,263,4,343,9,228,237,7,54
110,8,250,1381,58,14,250,402,16,829,10,384,361,17,123
61,9,236,357,25,7,209,176,9,946,6,293,177,9,94
85,7,358,799,45,6,200,386,5,361,9,416,257,5,141
39,1,415,659,25,3,134,381,4,429,18,404,220,4,256
79,7,289,459,34,10,193,262,3,389,10,382,218,7,97
129,6,878,1913,87,8,374,764,15,584,18,1088,829,9,446
55,3,333,400,23,5,95,211,3,288,12,428,193,4,171
41,3,286,580,36,5,113,214,3,171,8,346,256,2,143
153,5,673,1527,130,9,366,594,6,676,13,896,561,14,356
89,3,372,877,164,7,366,331,4,1032,11,524,343,16,145
89,9,378,670,52,11,299,348,8,479,8,490,279,11,167
83,11,426,678,35,13,371,520,11,877,10,432,314,12,82
124,5,775,1256,91,15,512,876,7,992,24,842,478,25,271
0,0,8,10,3,0,0,1,0,8,2,6,0,0,5
