1,2,3,4,5,6,7,8,9,10,11,12
1241,47,54,50,1211,575,18,894,836,715,264,549
676,45,43,49,855,504,20,1205,740,565,188,591
1336,32,29,29,268,195,28,547,376,385,135,313
321,34,37,46,740,335,17,719,576,380,182,432
657,64,46,139,664,1266,31,992,867,628,308,650
373,23,28,276,747,282,18,543,655,428,249,431
209,18,16,252,386,326,8,601,572,214,92,315
250,14,18,16,785,203,14,299,369,275,59,262
312,27,31,20,1032,267,10,471,562,379,162,340
621,63,61,44,556,1258,38,742,799,585,130,512
337,31,28,29,551,285,15,302,361,264,78,283
604,38,54,48,919,657,23,695,862,607,193,540
219,29,15,16,219,903,6,293,462,329,101,276
220,19,16,19,295,769,8,270,437,345,117,301
403,31,38,34,711,326,16,475,793,370,156,347
212,27,17,21,504,260,11,340,550,206,95,244
502,23,26,20,390,184,18,356,392,249,92,273
513,22,28,30,669,361,16,631,665,482,114,457
710,25,30,20,210,177,17,334,278,250,62,197
665,24,11,13,178,129,13,231,268,248,64,205
1152,45,34,26,921,368,26,773,839,527,203,626
505,52,38,29,404,1509,136,1122,515,824,264,537
897,51,62,40,708,704,24,915,880,558,220,646
1767,75,72,29,420,482,44,1036,584,968,256,645
760,55,52,39,542,1234,30,927,765,835,292,745
577,14,12,6,233,186,13,1458,247,235,67,234
924,21,28,22,315,231,12,1747,335,300,70,297
695,24,38,25,497,1151,16,791,699,492,155,505
577,31,28,16,242,705,17,1043,328,389,100,303
1457,33,23,24,206,241,16,743,402,368,107,336
762,20,16,12,396,300,9,1197,506,370,134,427
684,15,18,17,128,114,11,326,149,152,49,146
1671,41,35,22,247,209,22,667,391,418,127,361
226,19,18,8,486,187,6,247,305,226,121,241
231,18,11,19,380,136,11,335,188,191,73,167
432,29,43,47,952,756,16,631,957,379,141,492
303,44,51,26,289,1058,9,653,462,307,101,313
468,45,35,28,756,1097,23,708,1684,560,299,622
328,36,31,35,234,1383,13,503,586,411,131,386
503,44,36,26,399,1514,16,404,530,400,94,422
389,35,27,14,251,835,18,252,300,276,97,243
239,21,20,24,221,359,15,315,293,214,68,243
571,26,38,18,274,810,10,1539,265,362,139,328
461,30,23,11,646,338,14,600,466,311,129,344
471,15,32,21,1907,943,14,363,325,279,105,244
575,26,32,27,291,615,12,957,278,272,131,261
651,43,54,33,497,1914,20,455,567,899,295,484
728,48,25,33,924,471,19,621,414,590,193,412
362,31,19,19,1003,307,18,594,567,363,188,537
300,22,36,26,756,225,8,476,503,311,164,324
514,35,29,14,1098,665,13,497,374,431,150,346
118,11,14,11,213,244,1,133,115,132,87,119
484,33,18,25,280,1516,18,428,426,591,228,433
798,30,22,19,300,1014,14,799,618,562,230,533
637,8,14,11,152,274,10,137,199,206,48,170
1071,19,12,20,285,376,14,413,602,385,161,411
311,37,20,29,226,2064,18,732,587,502,194,447
483,33,20,15,252,1777,12,465,621,480,177,407
508,38,15,34,1334,806,17,492,671,752,265,555
452,21,11,20,259,767,9,456,563,295,126,318
359,25,13,18,422,1038,15,416,477,369,137,311
941,47,35,22,718,516,18,496,443,550,193,431
1041,39,39,17,769,1852,26,753,631,582,271,511
587,22,19,19,532,595,12,324,335,238,81,233
915,36,24,24,731,464,10,405,433,469,167,362
47,6,6,8,165,70,2,57,91,59,20,74
505,31,32,17,1674,951,20,927,2877,531,271,601
505,39,34,49,1361,761,25,998,1754,687,334,838
738,46,35,48,1372,504,16,893,686,568,214,562
660,21,32,24,700,355,13,1327,469,453,174,441
395,29,38,26,1159,370,19,532,731,388,156,483
285,19,24,15,656,185,9,248,243,227,96,231
261,12,15,5,493,179,5,374,380,196,98,281
462,32,34,30,861,446,5,559,725,391,401,488
568,26,26,25,1045,334,12,1077,407,393,208,401
438,48,65,36,459,1208,22,557,550,392,137,433
184,13,15,10,169,181,5,242,255,118,62,138
375,31,55,27,430,1062,9,640,512,330,117,401
457,28,47,40,924,464,19,677,1105,593,251,782
1039,37,28,31,427,361,22,476,427,385,310,429
1125,37,40,19,641,467,20,433,349,323,135,254
8,1,0,2,5,6,0,8,2,2,1,2
